CLASS;KSCHL
4100105;Autopojistky
4100106;Ostatní pojistky
41002;Pojistkové odpínače a odpojovače
4100201;Válcové odpínače
4100202;Nožové odpínače
4100203;Ostatní, přísluš.
41003;Příslušenství, spodky, hlavice
4100301;Ostatní, přísluš.
4100302;Pojistkové spodky
411;Rozvaděče a rozvodnice
41101;Rozvodnice modulové do 125A
4110101;Plastové rozvodnice
4110102;Oceloplastové rozv.
4110103;Rozvodnice s krytím
4110104;Rozvodnice přísluš
4110105;Velkoobsahové rozv.
41102;Rozvaděče, skříně nad 63A
4110201;Rozvaděče sestavy
4110202;Monobloky plastové
4110203;Monobloky plechové
4110204;Rozvaděče přísluš.
41103;Rozvaděče elektroměrové
4110301;Plastové, betonové
4110303;Plechové
41104;Rozvaděče pojistkové
4110401;Rozvaděče pojistkové
41105;Rozvaděče plynové
4110501;Rozvaděče plynové
41106;Příslušenství
4110601;Příslušenství
41107;Přípojnicové systémy
4110701;Přípojnicové systémy
412;Sdělovací a zabezpečovací technika
41201;Vstupní systémy, bezdrátové ovládání
4120101;Audio video sady
4120102;Domácí telefony
4120103;Tlačítkové panely
4120104;My Home, KNX, INELS
4120105;Zdroje, příslušenst.
4120106;Elektrické zámky
4120107;Bezdrátové ovládání
41202;AV, TV technika Předkonektorované kabely
4120201;HDMI, TV kabely
4120202;AV a TV konektory
4120203;Rozbočovače
41203;Zvonky a gongy
4120301;Zvonky a gongy
41204;Pohybová a kouřová čidla
4120401;Pohybová čidla
4120402;Kouřová, plyn. čidla
41205;Zabezpeč. technika
4120501;Zabezpeč. technika
41206;Záložní zdroje UPS
4120601;Záložní zdroje UPS
41207;Datová technika
4120701;Datové konektory
4120702;Patchkabely
4120703;Patchpanely
4120704;Datové rozvaděče
413;Světelné zdroje
41301;Světelné zdroje LED
4130101;LED Žárovky závitové
4130102;LED Žárovky paticové
4130103;LED Trubice
41302;Světelné zdroje LED pásky a profily
4130201;Profily, příslušen.
4130202;LED pásky
4130203;LED moduly
41303;Světelné zdroje Klasické
4130301;Žárovky průmyslové
4130302;Žárovky halogenové
4130303;Výbojky
41304;Světelné zdroje Úsporné
4130401;Paticové
4130402;Závitové
4130403;Trubice
41305;Světelné zdroje Autožárovky
4130501;Autožárovky
415;Svítidla
41501;Svítidla LED
4150101;Nouzová LED
4150102;Průmyslová LED
4150103;Interiérová LED
4150104;Exteriérová LED
4150105;Veřejné osvětl. LED
4150106;Reflektory LED
4150107;Panely LED
4150108;Lištová svítidla LED
41502;Svítidla Klasická
4150201;Nouzová klasická
4150202;Průmyslová klasická
4150203;Interiérová klasická
4150204;Exteriérová klasická
4150205;Veřejné osvětl. Klas
4150206;Reflektory klasické
4150207;Lištová svít. klas.
41503;Příslušenství
4150301;Předřadníky, drivery
4150302;Startery, zapalovače
